BHID,DM,XCOLLAR,YCOLLAR,ZCOLLAR,YEAR,ZCONVERS,DEPTH,DATUMZON,SURVMETH,PROSPECT,SELMOD,STARTDATE,ENDDATE,COMMENTS,BHIDNICK,CHKLITHO,CHKASSAY,CHKSURVE
BAU-MIL5-FD0133,803503_1971,186964.95,9639951.71,126.27,2004,NONE,9.2,SAD69_23S,SURV,MIL5,MIL5,17_06_2004,17_06_2004,,MIL5-FD0133,BAU-MIL5-FD0133,BAU-MIL5-FD0133,BAU-MIL5-FD0133
BAU-MIL5-FD0134,803503_1971,187760.12,9639951.81,122.23,2004,NONE,7.85,SAD69_23S,SURV,MIL5,MIL5,17_06_2004,17_06_2004,,MIL5-FD0134,BAU-MIL5-FD0134,BAU-MIL5-FD0134,BAU-MIL5-FD0134
BAU-MIL5-FD0135,803503_1971,185363.2,9638751.49,130.69,2004,NONE,9.85,SAD69_23S,SURV,MIL5,MIL5,17_06_2004,17_06_2004,,MIL5-FD0135,BAU-MIL5-FD0135,BAU-MIL5-FD0135,BAU-MIL5-FD0135
BAU-MIL5-FD0136,803503_1971,185764.03,9638751.38,137.7,2004,NONE,17.35,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0136,BAU-MIL5-FD0136,BAU-MIL5-FD0136,BAU-MIL5-FD0136
BAU-MIL5-FD0137,803503_1971,186163.71,9638751.19,138.33,2004,NONE,15.2,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0137,BAU-MIL5-FD0137,BAU-MIL5-FD0137,BAU-MIL5-FD0137
BAU-MIL5-FD0138,803503_1971,186567.33,9638751.11,137.27,2004,NONE,16.15,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0138,BAU-MIL5-FD0138,BAU-MIL5-FD0138,BAU-MIL5-FD0138
BAU-MIL5-FD0139,803503_1971,186967.96,9638751.39,134.87,2004,NONE,15.25,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0139,BAU-MIL5-FD0139,BAU-MIL5-FD0139,BAU-MIL5-FD0139
BAU-MIL5-FD0140,803503_1971,187314.66,9638751.0,130.5,2004,NONE,13.95,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0140,BAU-MIL5-FD0140,BAU-MIL5-FD0140,BAU-MIL5-FD0140
BAU-MIL5-FD0141,803503_1971,184963.42,9640751.47,132.25,2004,NONE,14.7,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0141,BAU-MIL5-FD0141,BAU-MIL5-FD0141,BAU-MIL5-FD0141
BAU-MIL5-FD0142,803503_1971,186563.26,9640751.29,134.83,2004,NONE,16.4,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0142,BAU-MIL5-FD0142,BAU-MIL5-FD0142,BAU-MIL5-FD0142
